100000 100000
42864 7116 926979
75278 15953 347237
5483 233 845388
84936 24577 447221
45763 22399 250312
46797 4079 122330
63418 57399 593697
17626 17127 555769
91810 69462 258186
96752 28653 535495
39890 14795 45557
69417 35839 411895
82831 28259 593003
92540 69054 295343
26750 22036 525600
83202 13179 372681
95155 33197 928469
68827 65003 599319
23985 20684 666696
35722 25126 759657
50813 19581 649529
19783 14491 867024
64700 51722 179157
54516 31892 738839
11710 9175 495249
94983 72509 412465
74875 14203 495613
8023 4433 151017
53447 36246 839725
12485 6430 944776
64650 14191 171377
47001 14653 814677
28579 20596 717653
5678 4943 69115
667 15 851682
33148 29627 717092
77449 51267 799035
74060 34503 738979
16294 6203 456455
24733 11592 478244
17410 3563 50575
45470 42297 940939
99988 17246 707661
3700 875 761217
30882 7917 799766
96832 44859 171863
39666 955 535224
3032 1488 41333
89235 71585 624765
45453 11624 712081
39167 29649 457593
70198 47611 286649
41692 21468 715344
73438 44268 32225
7373 4738 51911
51812 5534 394662
32044 26328 103607
90210 38135 512638
66398 769 66811
32111 15516 619941
38322 5318 143719
56799 36669 902740
12506 9215 678171
18295 15490 319105
96840 48299 118363
35957 947 65604
40805 32527 593377
43065 1233 496281
17405 4633 142921
58826 29015 51896
46421 15057 692149
41507 37345 356961
73585 9007 121313
79348 58664 995629
29629 13288 844669
51958 10478 688769
2689 1102 83280
98553 76298 293889
41970 40726 175905
30480 5984 6584
37703 33089 653499
68132 32354 288889
66618 63604 827146
20994 16967 373017
48173 42089 570941
80699 61091 534879
35276 7054 72349
82359 2641 663013
15318 13472 142697
89851 35963 700277
16288 9128 277312
69761 4869 704817
96131 34591 810553
15452 8739 734761
68612 5305 364915
99152 91441 926838
8405 4865 146430
48246 43318 492421
97599 18023 247984
91007 33649 317598
95624 53837 985187
87985 30150 203126
66895 28753 165953
95966 13091 528050
58895 37380 550885
61405 16535 440100
68839 46199 672767
53085 23471 925021
3892 3211 233467
6616 2497 355318
58631 50607 437273
62613 27019 809699
15087 10565 616318
55415 20355 33847
20431 19151 855378
31875 31173 68647
40959 1581 845849
12058 2098 894799
38003 25540 302033
7311 1197 185735
12992 5303 873075
78897 75889 723657
8310 4155 100302
9962 1173 301193
54615 14332 548171
49622 14535 105929
96011 76801 962257
93669 79217 643609
35856 10315 11843
59090 26132 133955
15658 7202 957053
75895 35869 555294
16616 771 217689
69451 62565 219485
81629 59327 458989
80696 78508 609115
87834 9221 139037
53343 26862 208124
49442 34668 181717
14450 13609 524228
88938 38765 90785
65391 37553 255097
36378 5910 296713
13299 1248 927640
50638 23154 434847
56421 27426 266801
